RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10026141,59,retired,divorced,tertiary,yes,no,,5,december,168,,100620
10026142,33,management,married,secondary,yes,no,123,7,january,247,,-2700
10026143,60,retired,married,secondary,yes,no,,18,february,291,41625,166680
10026144,42,services,married,secondary,yes,no,,26,march,187,136486.8,124740
10026145,44,management,single,tertiary,yes,no,??,24,april,194,186937.2,1792080
10026146,50,management,single,tertiary,yes,no,,25,may,379,96006.6,234000
10026147,54,retired,married,secondary,no,no,,1,june,151,,472680
10026148,29,admin.,single,secondary,yes,no,,7,july,166,,-7920
10026149,59,self-employed,married,tertiary,no,no,,26,august,64,28603.8,106740
10026150,37,technician,married,secondary,,no,,5,september,232,26080.2,91980
10026151,55,retired,married,secondary,,no,,21,october,647,28236.6,88740
10026152,53,retired,divorced,tertiary,yes,no,,25,november,322,20973.6,107820
10026153,31,services,married,secondary,yes,no,,23,december,133,23232.6,48960
10026154,49,management,married,tertiary,yes,no,,20,january,50,5455.8,132300
10026155,28,blue-collar,married,primary,yes,no,,20,february,87,2538,2700
10026156,47,blue-collar,married,primary,yes,no,??,9,march,771,16716.6,28620
10026157,31,blue-collar,married,primary,yes,no,,29,april,241,18655.2,117180
10026158,49,housemaid,divorced,primary,yes,no,,26,may,205,,35640
10026159,59,blue-collar,married,,yes,no,,19,june,318,,-50040
10026160,34,blue-collar,married,secondary,yes,no,,25,july,109,,-18000
10026161,43,admin.,married,primary,yes,no,,17,august,304,0,2700
10026162,38,blue-collar,married,primary,no,no,,15,september,209,0,0
10026163,41,services,married,secondary,yes,yes,,17,october,83,13413.6,19440
10026164,44,blue-collar,married,primary,yes,no,,14,november,227,29318.4,111060
10026165,31,services,single,secondary,,no,,29,december,271,3915,92880
10026166,35,blue-collar,married,primary,,no,,25,january,326,5520.6,1980
10026167,37,admin.,married,secondary,yes,no,,19,february,389,100348.2,184680
10026168,58,admin.,married,secondary,no,no,,6,march,273,17721,654300
10026169,24,blue-collar,married,secondary,no,no,,24,april,264,,5760
10026170,35,blue-collar,single,primary,yes,no,,12,may,1106,,-22140
10026171,33,blue-collar,divorced,secondary,yes,no,,15,june,73,,-42840
10026172,40,entrepreneur,married,tertiary,yes,yes,,16,july,195,104992.2,196020
10026173,46,admin.,divorced,tertiary,yes,no,,25,august,69,178281,674820
10026174,41,blue-collar,married,primary,yes,no,,10,september,87,43286.4,565200
10026175,33,blue-collar,married,tertiary,yes,no,,23,october,122,13379.4,39780
10026176,35,blue-collar,divorced,primary,yes,no,,11,november,945,20424.6,54000
10026177,57,retired,divorced,primary,yes,no,,7,december,288,33746.4,92700
10026178,40,technician,married,primary,yes,no,,3,january,50,39956.4,147420
10026179,36,blue-collar,married,secondary,yes,no,,17,february,816,80762.4,129960
10026180,47,management,divorced,secondary,yes,yes,,8,march,284,61525.8,602280
10026181,50,blue-collar,married,primary,yes,no,,30,april,116,19321.2,75420
10026182,51,technician,married,secondary,yes,no,,3,may,72,37472.4,59400
10026183,41,management,divorced,tertiary,yes,no,,25,june,232,33134.4,283680
10026184,38,management,married,tertiary,yes,no,,25,july,124,14860.8,46440
10026185,39,blue-collar,married,primary,yes,no,,3,august,326,6984,57060
10026186,25,services,single,secondary,yes,yes,,25,september,190,22483.8,10260
10026187,43,technician,married,secondary,yes,no,,9,october,1721,36718.2,591300
10026188,33,blue-collar,married,secondary,yes,no,,16,november,351,31573.8,27360
10026189,45,blue-collar,married,secondary,yes,no,,18,december,171,142839,437220
10026190,58,,divorced,secondary,yes,no,,1,january,166,106567.2,559980
10026191,57,blue-collar,married,primary,yes,no,,14,february,104,11622.6,243360
10026192,27,unemployed,single,tertiary,yes,no,,25,march,163,7995.6,6660
10026193,25,technician,single,tertiary,yes,no,,25,april,492,13973.4,115200
10026194,38,blue-collar,married,,no,no,,23,may,25,11950.2,20340
10026195,28,technician,single,secondary,yes,no,,28,june,152,15247.8,84240
10026196,33,services,married,secondary,yes,no,,27,july,109,17733.6,33120
10026197,44,blue-collar,single,secondary,yes,no,,28,august,1032,3459.6,113940
10026198,57,admin.,married,secondary,yes,no,,12,september,65,1038.6,1260
10026199,46,blue-collar,single,secondary,yes,no,,28,october,194,0,10260
10026200,57,technician,divorced,secondary,yes,no,,4,november,360,0,0
10026201,42,blue-collar,divorced,primary,yes,yes,,1,december,96,11651.4,75420
10026202,46,admin.,married,secondary,yes,no,,3,january,20,13708.8,21600
10026203,39,entrepreneur,married,secondary,yes,no,,25,february,323,23808.6,104400
10026204,27,blue-collar,married,secondary,yes,no,,9,march,332,6483.6,65160
10026205,42,management,married,secondary,yes,no,,15,april,735,9325.8,7740
10026206,58,admin.,married,secondary,yes,no,,13,may,151,22168.8,134820
10026207,42,admin.,single,secondary,yes,no,,9,june,46,76860,43740
10026208,48,blue-collar,married,primary,no,no,,21,july,158,233150.4,1620720
10026209,57,services,single,secondary,yes,no,,11,august,73,142171.2,402480
10026210,52,admin.,single,secondary,yes,no,,6,september,407,136526.4,602640
10026211,54,blue-collar,divorced,primary,yes,no,,24,october,438,32351.4,371160
10026212,55,retired,married,secondary,no,no,,29,november,139,27437.4,33840
10026213,46,blue-collar,married,primary,yes,no,,27,december,174,101046.6,266940
10026214,48,entrepreneur,married,,yes,no,,22,january,175,19101.6,459000
10026215,25,admin.,single,secondary,yes,no,,30,february,313,8847,9540
10026216,38,management,divorced,tertiary,yes,no,,22,march,137,45046.8,98460
10026217,46,retired,married,primary,no,yes,,15,april,22,15766.2,247320
10026218,48,technician,married,,yes,no,,14,may,328,30069,12060
10026219,43,blue-collar,married,primary,yes,no,,26,june,93,,899640
10026220,52,technician,married,secondary,no,no,,15,july,97,,0
10026221,27,blue-collar,single,secondary,yes,yes,,9,august,123,,-360
10026222,29,blue-collar,married,secondary,yes,no,,15,september,219,5639.4,4140
10026223,49,admin.,married,secondary,yes,yes,,10,october,455,24858,92160
10026224,30,blue-collar,single,secondary,no,no,,10,november,103,48099.6,80460
10026225,50,admin.,married,secondary,yes,no,,23,december,200,158781.6,345060
10026226,58,blue-collar,married,,yes,no,,25,january,133,65478.6,876780
10026227,44,blue-collar,married,secondary,yes,no,,1,february,35,0,58680
10026228,52,technician,married,secondary,yes,yes,,23,march,77,0,0
10026229,44,entrepreneur,married,secondary,no,no,,23,april,211,0,0
10026230,27,blue-collar,single,secondary,no,no,,29,may,72,5113.8,2520
10026231,35,technician,married,secondary,yes,yes,,5,june,133,26256.6,124560
10026232,31,blue-collar,married,secondary,yes,yes,,3,july,89,24265.8,66420
10026233,31,blue-collar,married,primary,yes,no,,26,august,287,79119,106380
10026234,52,housemaid,married,secondary,yes,no,,13,september,942,0,706140
10026235,44,blue-collar,married,secondary,yes,no,,18,october,101,0,0
10026236,28,blue-collar,single,primary,yes,yes,,21,november,305,9790.2,62640
10026237,41,technician,married,secondary,yes,yes,,29,december,387,11095.2,18360
10026238,54,technician,divorced,secondary,yes,no,,27,january,146,50594.4,80460
10026239,46,blue-collar,married,secondary,yes,no,,14,february,160,171801,381780
10026240,48,blue-collar,married,primary,yes,no,,18,march,70,73951.2,927720
10026241,31,admin.,married,secondary,yes,no,,2,april,466,78982.2,70740
10026242,42,services,married,primary,yes,no,,6,may,162,,1058220
10026243,40,blue-collar,married,secondary,yes,no,,19,june,117,,-5580
10026244,56,self-employed,married,tertiary,yes,no,,7,july,381,296481.6,156780
10026245,45,management,married,tertiary,yes,no,,23,august,167,381612.6,6728040
10026246,53,technician,divorced,primary,yes,no,,23,september,476,54127.8,259740
10026247,31,admin.,married,secondary,yes,no,,27,october,178,47107.8,135360
10026248,42,management,married,tertiary,yes,no,,1,november,260,41121,196740
10026249,51,technician,married,,yes,yes,,24,december,231,19978.2,103140
10026250,52,management,married,tertiary,no,no,,24,january,188,13116.6,46440
10026251,48,management,married,primary,yes,yes,,22,february,145,11606.4,44460
10026252,28,management,single,tertiary,yes,no,,1,march,163,12834,36360
10026253,34,technician,single,secondary,yes,no,,12,april,282,24498,54360
10026254,50,admin.,married,secondary,yes,no,,16,may,74,0,132480
10026255,46,blue-collar,married,primary,yes,no,,1,june,73,0,0
10026256,54,blue-collar,married,secondary,yes,no,,23,july,220,0,95760
10026257,43,technician,divorced,secondary,no,no,,22,august,333,0,0
10026258,55,blue-collar,divorced,secondary,no,no,,13,september,316,304876.8,1328040
10026259,47,blue-collar,married,primary,no,no,,6,october,451,138198.6,839880
10026260,43,entrepreneur,married,secondary,yes,no,,11,november,318,0,272880
10026261,45,technician,married,secondary,yes,yes,,12,december,246,0,0
10026262,46,blue-collar,married,secondary,yes,yes,,1,january,311,0,1095300
10026263,39,technician,married,secondary,yes,no,,26,february,202,0,-32940
10026264,26,student,single,secondary,yes,no,,30,march,174,2714.4,16380
10026265,40,blue-collar,married,secondary,yes,no,,21,april,168,1395,5400
10026266,48,blue-collar,divorced,primary,yes,no,,20,may,832,5815.8,4320
10026267,53,technician,divorced,secondary,yes,no,,18,june,230,32943.6,93960
10026268,40,technician,married,secondary,yes,no,,13,july,200,51746.4,138600
10026269,54,blue-collar,married,secondary,yes,no,,15,august,170,59819.4,231840
10026270,46,technician,married,secondary,yes,no,,6,september,142,107182.8,185220
10026271,47,technician,divorced,secondary,yes,no,,26,october,283,47723.4,744300
10026272,50,blue-collar,divorced,secondary,yes,yes,,7,november,421,29068.2,36720
10026273,59,retired,divorced,primary,yes,no,,30,december,278,0,276120
10026274,44,services,single,secondary,yes,no,,4,january,179,0,0
10026275,42,management,married,tertiary,yes,no,,26,february,238,33643.8,157860
10026276,52,management,married,secondary,yes,no,,16,march,110,38188.8,86040
10026277,30,management,single,tertiary,yes,no,,12,april,138,85588.2,203400
10026278,46,blue-collar,single,secondary,yes,no,,8,may,218,69262.2,432180
10026279,45,management,married,tertiary,yes,no,,20,june,158,44542.8,133200
10026280,29,admin.,single,secondary,no,no,,20,july,105,49012.2,178740
10026281,53,blue-collar,married,primary,yes,no,,25,august,106,28341,161280
10026282,55,admin.,married,secondary,yes,no,,16,september,217,31230,59760
10026283,45,management,single,tertiary,no,no,,1,october,132,12240,195840
10026284,35,technician,married,secondary,yes,no,,17,november,824,14567.4,9180
10026285,52,blue-collar,single,secondary,yes,no,,5,december,243,41454,277380
10026286,40,management,married,tertiary,yes,no,,4,january,150,54421.2,74340
10026287,42,admin.,married,secondary,yes,no,,23,february,238,107717.4,478080
10026288,41,blue-collar,single,primary,yes,no,,25,march,1553,25255.8,291240
10026289,42,admin.,divorced,secondary,yes,no,,22,april,148,7767,26280
10026290,40,admin.,married,secondary,yes,no,,17,may,159,43138.8,27540
10026291,41,services,married,secondary,yes,no,,6,june,108,0,810900
10026292,57,management,married,tertiary,yes,no,,16,july,124,0,0
10026293,45,admin.,married,secondary,yes,no,,12,august,452,76341.6,93600
10026294,47,management,married,primary,yes,no,,23,september,114,194689.8,747180
10026295,40,unemployed,married,secondary,yes,no,,4,october,125,48819.6,608760
10026296,33,technician,single,secondary,yes,no,,24,november,622,28591.2,46980
10026297,49,entrepreneur,married,secondary,yes,no,,1,december,153,40239,208800
10026298,39,management,divorced,tertiary,yes,yes,,27,january,1328,64236.6,93060
10026299,50,services,married,secondary,yes,no,,23,february,686,102913.2,532080
10026300,60,retired,divorced,primary,yes,yes,,16,march,80,173658.6,238860
10026301,53,technician,married,secondary,yes,no,,25,april,435,0,1515060
10026302,58,retired,married,secondary,yes,no,,13,may,300,0,-30960
10026303,52,services,married,secondary,yes,no,,13,june,203,41085,406260
10026304,42,admin.,single,secondary,yes,no,,1,july,121,25974,49860
10026305,42,blue-collar,married,secondary,yes,no,,2,august,71,22723.2,162360
10026306,43,technician,married,secondary,yes,no,,6,september,78,17136,38160
10026307,51,admin.,married,secondary,yes,no,,15,october,534,56097,92340
10026308,53,,divorced,tertiary,yes,no,,24,november,243,66412.8,408960
10026309,53,technician,married,secondary,yes,no,,25,december,230,1393.2,129420
10026310,42,management,married,tertiary,no,no,,6,january,253,1164.6,180
10026311,40,technician,married,secondary,yes,no,,4,february,127,45450,90540
10026312,59,retired,married,secondary,yes,yes,,8,march,1125,101647.8,273780
10026313,59,retired,married,secondary,yes,yes,,2,april,282,56385,452880
10026314,48,housemaid,married,tertiary,yes,no,,4,may,220,20388.6,84240
10026315,25,,single,,yes,no,,30,june,158,15168.6,59220
10026316,59,blue-collar,married,primary,yes,yes,,6,july,267,23189.4,46620
10026317,49,unemployed,married,secondary,yes,no,,17,august,257,0,138420
10026318,42,management,married,tertiary,yes,no,,19,september,110,0,-126000
10026319,37,blue-collar,married,secondary,yes,no,,29,october,456,578007,2844180
10026320,40,blue-collar,married,primary,yes,no,,14,november,78,0,1409580
10026321,31,management,married,tertiary,no,no,,29,december,298,0,0
10026322,41,blue-collar,married,secondary,yes,no,,19,january,429,0,-12240
10026323,60,technician,married,secondary,yes,no,,5,february,483,87561,475020
10026324,42,admin.,divorced,secondary,yes,no,,22,march,213,41189.4,193680
10026325,48,blue-collar,married,primary,yes,no,,7,april,51,65320.2,105120
10026326,43,blue-collar,married,secondary,yes,yes,,25,may,44,97232.4,487080
10026327,47,blue-collar,married,primary,yes,no,,28,june,164,51901.2,232920
10026328,40,self-employed,married,primary,yes,no,,28,july,166,24271.2,138780
10026329,55,unemployed,divorced,secondary,yes,yes,,11,august,220,19191.6,50940
10026330,51,management,divorced,tertiary,yes,no,,16,september,178,3783.6,86760
10026331,54,management,married,tertiary,no,no,,14,october,452,9156.6,1980
10026332,41,blue-collar,married,secondary,yes,no,,2,november,858,50756.4,508140
10026333,41,blue-collar,married,secondary,yes,no,,16,december,87,72124.2,60840
10026334,53,blue-collar,married,secondary,yes,no,,4,january,97,215872.2,1026000
10026335,46,admin.,married,secondary,yes,yes,,4,february,116,140601.6,545040
10026336,45,entrepreneur,married,primary,yes,no,,20,march,120,95774.4,435240
10026337,48,blue-collar,married,secondary,yes,no,,19,april,629,0,252900
10026338,44,services,single,secondary,yes,no,,28,may,198,0,0
10026339,47,blue-collar,married,secondary,no,no,,3,june,262,67660.2,499500
10026340,49,blue-collar,married,secondary,yes,yes,,16,july,179,52236,109980
10026341,41,blue-collar,married,primary,yes,no,,4,august,35,86900.4,297720
10026342,54,blue-collar,married,primary,yes,no,,10,september,156,44154,304380
10026343,48,technician,married,secondary,no,no,,27,october,201,32884.2,76860
10026344,30,blue-collar,married,secondary,yes,no,,17,november,159,39817.8,168840
10026345,45,blue-collar,married,primary,yes,no,,17,december,68,38435.4,112680
10026346,40,blue-collar,married,,no,no,,12,january,75,7525.8,157320
10026347,42,blue-collar,single,secondary,no,no,,3,february,229,21857.4,4320
10026348,48,technician,married,secondary,yes,no,,12,march,126,174807,1327140
10026349,40,admin.,married,secondary,yes,no,,2,april,704,2878.2,276300
10026350,47,blue-collar,married,primary,yes,yes,,4,may,164,2115,360
10026351,47,admin.,married,secondary,yes,yes,,10,june,339,19159.2,149220
10026352,33,blue-collar,single,secondary,yes,no,,17,july,461,27955.8,29520
10026353,54,blue-collar,married,secondary,yes,no,,20,august,188,90876.6,317700
10026354,46,blue-collar,married,secondary,yes,no,,9,september,546,42332.4,311940
10026355,53,retired,married,primary,yes,no,,23,october,171,28346.4,68940
10026356,25,technician,single,tertiary,yes,no,,5,november,351,0,139860
10026357,50,management,married,secondary,yes,no,,15,december,94,0,0
10026358,40,blue-collar,married,secondary,yes,yes,,6,january,168,135167.4,273960
10026359,53,management,married,tertiary,yes,no,,12,february,429,105260.4,800280
10026360,41,blue-collar,married,secondary,yes,no,,30,march,249,57115.8,166140
10026361,41,admin.,married,secondary,yes,no,,3,april,568,68817.6,235620
10026362,42,management,married,tertiary,yes,no,,16,may,299,106891.2,241200
10026363,47,management,married,tertiary,yes,no,,6,june,282,116654.4,568440
10026364,48,blue-collar,married,secondary,yes,no,,21,july,760,61824.6,287280
10026365,43,blue-collar,married,primary,yes,no,,22,august,211,235659.6,159660
10026366,55,management,married,tertiary,yes,no,,23,september,77,251469,4174020
10026367,40,admin.,married,secondary,yes,no,,25,october,283,25900.2,181800
10026368,45,blue-collar,married,primary,yes,no,,13,november,263,24692.4,44280
10026369,54,retired,married,secondary,yes,no,,1,december,189,59513.4,165240
10026370,46,blue-collar,married,primary,yes,no,,3,january,91,97007.4,257220
10026371,57,retired,divorced,primary,yes,no,,4,february,32,47871,439020
10026372,49,entrepreneur,married,secondary,yes,no,,18,march,139,19069.2,62640
10026373,49,admin.,married,secondary,yes,no,,23,april,347,4795.2,69660
10026374,41,blue-collar,single,primary,yes,no,,14,may,152,14706,3960
10026375,42,self-employed,married,primary,yes,no,,18,june,869,157863.6,655380
10026376,42,management,single,secondary,yes,no,,25,july,339,113374.8,456300
10026377,49,technician,married,primary,yes,no,,13,august,267,3900.6,338040
10026378,42,blue-collar,married,secondary,yes,no,,23,september,34,270,540
10026379,34,unemployed,single,secondary,yes,no,,4,october,153,3492,1620
10026380,47,blue-collar,married,primary,yes,no,,18,november,28,70182,90360
10026381,41,admin.,married,secondary,yes,no,,12,december,216,182512.8,654120
10026382,45,technician,married,secondary,yes,no,,2,january,215,78543,611100
10026383,33,admin.,single,secondary,yes,no,,1,february,199,33019.2,121140
10026384,53,blue-collar,married,primary,yes,no,,8,march,139,33627.6,108000
10026385,43,unemployed,single,primary,yes,no,,4,april,322,69186.6,125640
10026386,40,blue-collar,divorced,secondary,yes,no,,30,may,189,49480.2,457200
10026387,34,blue-collar,married,primary,yes,no,,27,june,197,27455.4,64260
10026388,40,technician,married,secondary,yes,no,,17,july,224,66540.6,140760
10026389,41,blue-collar,married,primary,yes,no,,30,august,160,0,377460
10026390,44,blue-collar,single,,yes,no,,6,september,143,0,-18180
10026391,57,admin.,divorced,primary,yes,yes,,2,october,191,0,113040
10026392,42,technician,married,secondary,yes,no,,22,november,833,0,0
10026393,57,services,married,secondary,yes,no,,4,december,356,17233.2,1237320
10026394,43,blue-collar,divorced,secondary,yes,no,,4,january,485,8546.4,2880
10026395,45,blue-collar,married,primary,yes,no,,30,february,57,83907,304380
10026396,60,retired,married,primary,yes,no,,5,march,930,66337.2,277560
10026397,41,blue-collar,married,,yes,no,,3,april,247,179715.6,190260
10026398,49,blue-collar,married,primary,yes,no,,26,may,208,0,2037060
10026399,42,admin.,married,secondary,no,no,,30,june,89,0,-234000
10026400,41,services,married,primary,yes,no,,4,july,72,12351.6,53820
10026401,33,technician,single,secondary,yes,no,,22,august,260,26843.4,34020
10026402,56,blue-collar,married,secondary,yes,no,,4,september,129,0,254160
10026403,49,blue-collar,married,primary,yes,no,,2,october,151,0,0
10026404,41,blue-collar,married,secondary,yes,no,,4,november,181,114654.6,42300
10026405,48,management,married,tertiary,yes,no,,24,december,125,241545.6,3729240
10026406,41,technician,married,secondary,yes,yes,,1,january,225,50063.4,187740
10026407,41,services,married,secondary,yes,no,,23,february,829,42958.8,160200
10026408,30,technician,single,secondary,no,yes,,4,march,749,35798.4,138240
10026409,52,entrepreneur,married,tertiary,yes,yes,,20,april,166,46807.2,111240
10026410,40,blue-collar,married,secondary,no,no,,16,may,87,118065.6,236340
10026411,60,retired,married,secondary,yes,no,,23,june,407,59547.6,707760
10026412,28,management,single,tertiary,yes,no,,27,july,438,8494.2,60120
10026413,44,self-employed,divorced,secondary,yes,yes,,30,august,387,0,14400
10026414,44,technician,single,secondary,yes,yes,,13,september,100,0,-4860
10026415,32,blue-collar,single,secondary,yes,no,,18,october,413,34506,411300
10026416,53,management,married,tertiary,no,no,,22,november,521,0,34740
10026417,41,services,divorced,secondary,no,yes,,30,december,133,0,-35640
10026418,57,retired,married,tertiary,yes,yes,,1,january,191,40111.2,212400
10026419,42,blue-collar,married,primary,yes,no,,21,february,521,97297.2,90900
10026420,31,management,married,secondary,yes,no,,23,march,109,67492.8,1249740
10026421,46,blue-collar,married,secondary,yes,yes,,9,april,345,48949.2,43740
10026422,40,technician,single,,yes,no,,9,may,1028,184573.8,657360
10026423,46,technician,divorced,secondary,yes,no,,6,june,566,155946.6,621900
